page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    3375  2475  icc     3   8  jpeg   no         4  0   300   300  161K 0.7%
   1     1 image    2083  1121  gray    1   8  jpeg   no        17  0   300   300 22.6K 1.0%
   1     2 image     723   515  gray    1   8  jpeg   no        25  0   300   300 7019B 1.9%
   2     3 image    3375  2475  icc     3   8  jpeg   no        30  0   300   300  158K 0.6%
   2     4 image    2083  1121  gray    1   8  jpeg   no        34  0   300   300 22.6K 1.0%
   2     5 image     723   515  gray    1   8  jpeg   no        37  0   300   300 7018B 1.9%
   3     6 image    3375  2475  icc     3   8  jpeg   no        42  0   300   300  159K 0.7%
   3     7 image    2083  1121  gray    1   8  jpeg   no        44  0   300   300 22.6K 1.0%
   3     8 image     723   515  gray    1   8  jpeg   no        47  0   300   300 7018B 1.9%
   4     9 image    3375  2475  icc     3   8  jpeg   no        52  0   300   300  185K 0.8%
   4    10 image    2083  1121  gray    1   8  jpeg   no        54  0   300   300 22.6K 1.0%
   4    11 image     723   515  gray    1   8  jpeg   no        57  0   300   300 7019B 1.9%
   5    12 image    3375  2475  icc     3   8  jpeg   no        62  0   300   300  174K 0.7%
   5    13 image    2083  1121  gray    1   8  jpeg   no        64  0   300   300 22.6K 1.0%
   5    14 image     723   515  gray    1   8  jpeg   no        67  0   300   300 7019B 1.9%
   6    15 image    3375  2475  icc     3   8  jpeg   no        72  0   300   300  166K 0.7%
   6    16 image    2083  1121  gray    1   8  jpeg   no        74  0   300   300 22.6K 1.0%
   6    17 image     723   515  gray    1   8  jpeg   no        77  0   300   300 7018B 1.9%
   7    18 image    3375  2475  icc     3   8  jpeg   no        82  0   300   300  174K 0.7%
   7    19 image    2083  1121  gray    1   8  jpeg   no        84  0   300   300 22.6K 1.0%
   7    20 image     723   515  gray    1   8  jpeg   no        87  0   300   300 7018B 1.9%
   8    21 image    3375  2475  icc     3   8  jpeg   no        92  0   300   300  162K 0.7%
   8    22 image    2083  1121  gray    1   8  jpeg   no        94  0   300   300 22.6K 1.0%
   8    23 image     723   515  gray    1   8  jpeg   no        97  0   300   300 7019B 1.9%
   9    24 image    3375  2475  icc     3   8  jpeg   no       102  0   300   300  168K 0.7%
   9    25 image    2083  1121  gray    1   8  jpeg   no       104  0   300   300 22.6K 1.0%
   9    26 image     723   515  gray    1   8  jpeg   no       107  0   300   300 7019B 1.9%
  10    27 image    3375  2475  icc     3   8  jpeg   no       112  0   300   300  172K 0.7%
  10    28 image    2083  1121  gray    1   8  jpeg   no       114  0   300   300 22.6K 1.0%
  10    29 image     723   515  gray    1   8  jpeg   no       117  0   300   300 7019B 1.9%
  11    30 image    3375  2475  icc     3   8  jpeg   no       122  0   300   300  171K 0.7%
