page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    3375  2475  icc     3   8  jpeg   no         4  0   300   300  429K 1.8%
   2     1 image    3375  2475  icc     3   8  jpeg   no        10  0   300   300  538K 2.2%
   3     2 image    3375  2475  icc     3   8  jpeg   no        13  0   300   300  739K 3.0%
   4     3 image    3375  2475  icc     3   8  jpeg   no        16  0   300   300  675K 2.8%
   5     4 image    3375  2475  icc     3   8  jpeg   no        19  0   300   300  732K 3.0%
   6     5 image    3375  2475  icc     3   8  jpeg   no        22  0   300   300  444K 1.8%
   7     6 image    3375  2475  icc     3   8  jpeg   no        25  0   300   300  828K 3.4%
   8     7 image    3375  2475  icc     3   8  jpeg   no        28  0   300   300  594K 2.4%
   9     8 image    3375  2475  icc     3   8  jpeg   no        31  0   300   300  447K 1.8%
  10     9 image    3375  2475  icc     3   8  jpeg   no        34  0   300   300  687K 2.8%
  11    10 image    3375  2475  icc     3   8  jpeg   no        37  0   300   300  661K 2.7%
  12    11 image    3375  2475  icc     3   8  jpeg   no        40  0   300   300 1175K 4.8%
  13    12 image    3375  2475  icc     3   8  jpeg   no        43  0   300   300  653K 2.7%
  14    13 image    3375  2475  icc     3   8  jpeg   no        46  0   300   300  575K 2.4%
  15    14 image    3375  2475  icc     3   8  jpeg   no        49  0   300   300  787K 3.2%
  16    15 image    3375  2475  icc     3   8  jpeg   no        52  0   300   300  796K 3.3%
  17    16 image    3375  2475  icc     3   8  jpeg   no        55  0   300   300  543K 2.2%
  18    17 image    3375  2475  icc     3   8  jpeg   no        58  0   300   300 1003K 4.1%
  19    18 image    3375  2475  icc     3   8  jpeg   no        61  0   300   300  507K 2.1%
  20    19 image    3375  2475  icc     3   8  jpeg   no        64  0   300   300  881K 3.6%
  21    20 image    3375  2475  icc     3   8  jpeg   no        67  0   300   300  696K 2.8%
  22    21 image    3375  2475  icc     3   8  jpeg   no        70  0   300   300  843K 3.4%
  23    22 image    3375  2475  icc     3   8  jpeg   no        73  0   300   300  536K 2.2%
  24    23 image    3375  2475  icc     3   8  jpeg   no        76  0   300   300  434K 1.8%
